Date,Open,High,Low,Close,Adj Close,Volume,SMA25,SMA50,SMA75
1980-01-04,6560.16015625,6560.16015625,6560.16015625,6560.16015625,6560.16015625,0,,,
1980-01-07,6552.64990234375,6552.64990234375,6552.64990234375,6552.64990234375,6552.64990234375,0,,,
1980-01-08,6563.27978515625,6563.27978515625,6563.27978515625,6563.27978515625,6563.27978515625,0,,,
1980-01-09,6591.830078125,6591.830078125,6591.830078125,6591.830078125,6591.830078125,0,,,
1980-01-10,6594.009765625,6594.009765625,6594.009765625,6594.009765625,6594.009765625,0,,,
1980-01-11,6615.509765625,6615.509765625,6615.509765625,6615.509765625,6615.509765625,0,,,
1980-01-14,6659.5498046875,6659.5498046875,6659.5498046875,6659.5498046875,6659.5498046875,0,,,
1980-01-16,6653.259765625,6653.259765625,6653.259765625,6653.259765625,6653.259765625,0,,,
1980-01-17,6656.2998046875,6656.2998046875,6656.2998046875,6656.2998046875,6656.2998046875,0,,,
1980-01-18,6649.2998046875,6649.2998046875,6649.2998046875,6649.2998046875,6649.2998046875,0,,,
1980-01-21,6666.27001953125,6666.27001953125,6666.27001953125,6666.27001953125,6666.27001953125,0,,,
1980-01-22,6684.58984375,6684.58984375,6684.58984375,6684.58984375,6684.58984375,0,,,
1980-01-23,6694.18994140625,6694.18994140625,6694.18994140625,6694.18994140625,6694.18994140625,0,,,
1980-01-24,6746.93017578125,6746.93017578125,6746.93017578125,6746.93017578125,6746.93017578125,0,,,
1980-01-25,6767.7099609375,6767.7099609375,6767.7099609375,6767.7099609375,6767.7099609375,0,,,
1980-01-28,6763.60986328125,6763.60986328125,6763.60986328125,6763.60986328125,6763.60986328125,0,,,
1980-01-29,6770.830078125,6770.830078125,6770.830078125,6770.830078125,6770.830078125,0,,,
1980-01-30,6776.60009765625,6776.60009765625,6776.60009765625,6776.60009765625,6776.60009765625,0,,,
1980-01-31,6768.16015625,6768.16015625,6768.16015625,6768.16015625,6768.16015625,0,,,
1980-02-01,6777.64013671875,6777.64013671875,6777.64013671875,6777.64013671875,6777.64013671875,0,,,
1980-02-04,6794.2099609375,6794.2099609375,6794.2099609375,6794.2099609375,6794.2099609375,0,,,
1980-02-05,6765.1201171875,6765.1201171875,6765.1201171875,6765.1201171875,6765.1201171875,0,,,
1980-02-06,6800.330078125,6800.330078125,6800.330078125,6800.330078125,6800.330078125,0,,,
1980-02-07,6795.6201171875,6795.6201171875,6795.6201171875,6795.6201171875,6795.6201171875,0,,,
1980-02-08,6816.02978515625,6816.02978515625,6816.02978515625,6816.02978515625,6816.02978515625,0,6699.34755859375,,
1980-02-12,6828.0498046875,6828.0498046875,6828.0498046875,6828.0498046875,6828.0498046875,0,6710.06314453125,,
1980-02-13,6835.990234375,6835.990234375,6835.990234375,6835.990234375,6835.990234375,0,6721.3967578125,,
1980-02-14,6839.85986328125,6839.85986328125,6839.85986328125,6839.85986328125,6839.85986328125,0,6732.4599609375,,
1980-02-15,6827.7099609375,6827.7099609375,6827.7099609375,6827.7099609375,6827.7099609375,0,6741.89515625,,
1980-02-18,6756.60009765625,6756.60009765625,6756.60009765625,6756.60009765625,6756.60009765625,0,6748.39876953125,,
1980-02-19,6763.08984375,6763.08984375,6763.08984375,6763.08984375,6763.08984375,0,6754.30197265625,,
